# 1. 사업 개요
GENERAL-OVERVIEW-001 신사업 실증 과제의 목적과 적용 범위를 정리한다.

# 2. 추진 현황
GENERAL-STATUS-001 현장 과제별 담당자와 진행 상태를 점검한다.

| 과제 ID | 담당 | 상태 |
| --- | --- | --- |
| PRJ-001 | 기획팀 | 후보 부지의 계통 연계 조건과 인허가 선행 요건을 상세 검토 중 |
| PRJ-002 | 기술팀 | 발전량 예측 자료와 주요 설비 사양을 상세 검토 중 |
| PRJ-003 | 운영팀 | 현장 운전 인력과 점검 절차 적용 방안을 상세 검토 중 |
| PRJ-004 | 안전팀 | 공정별 위험 요인과 안전 조치 적용 방안을 상세 검토 중 |
| PRJ-005 | 재무팀 | 투자비와 운영비 산정 근거 및 민감도를 상세 검토 중 |
| PRJ-006 | 법무팀 | 계약 조건과 관계 법령의 적용 범위를 상세 검토 중 |
| PRJ-007 | 환경팀 | 환경 영향 조사 항목과 주민 협의 계획을 상세 검토 중 |
| PRJ-008 | 구매팀 | 핵심 기자재 공급 일정과 대체 공급사를 상세 검토 중 |
| PRJ-009 | 품질팀 | 제작 검사 기준과 인수 시험 항목을 상세 검토 중 |
| PRJ-010 | 건설팀 | 공정 일정과 가설 설비 운영 방안을 상세 검토 중 |
| PRJ-011 | 기획팀 | 사업 목표와 단계별 의사결정 기준을 상세 검토 중 |
| PRJ-012 | 기술팀 | 설계 입력 조건과 인터페이스 항목을 상세 검토 중 |
| PRJ-013 | 운영팀 | 예방 정비 주기와 예비품 확보 계획을 상세 검토 중 |
| PRJ-014 | 안전팀 | 비상 대응 절차와 교육 계획을 상세 검토 중 |
| PRJ-015 | 재무팀 | 예상 수익과 비용 변동 시나리오를 상세 검토 중 |
| PRJ-016 | 법무팀 | 인허가 제출 자료와 담당 기관 일정을 상세 검토 중 |
| PRJ-017 | 환경팀 | 배출 저감 설비와 측정 계획을 상세 검토 중 |
| PRJ-018 | 구매팀 | 장기 납기 품목과 발주 시점을 상세 검토 중 |
| PRJ-019 | 품질팀 | 시운전 판정 기준과 기록 양식을 상세 검토 중 |
| PRJ-020 | 건설팀 | 작업 구역과 장비 동선 계획을 상세 검토 중 |
| PRJ-021 | 기획팀 | 이해관계자 보고 주기와 승인 체계를 상세 검토 중 |
| PRJ-022 | 기술팀 | 성능 보증 조건과 검증 방법을 상세 검토 중 |
| PRJ-023 | 운영팀 | 인수 인계 범위와 초기 운전 계획을 상세 검토 중 |
| PRJ-024 | 안전팀 | 최종 위험성 평가와 조치 완료 여부를 상세 검토 중 |

# 3. 향후 계획
GENERAL-PLAN-001 다음 단계에서는 현장 실증 일정과 담당 조직을 확정한다.
